cell_id,orig_obs_idx,role,gene_transcript
k562_65631,65631,nt,NT_POOL
k562_65653,65653,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_65669,65669,nt,NT_POOL
k562_65729,65729,nt,NT_POOL
k562_65771,65771,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_65785,65785,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_65797,65797,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_65819,65819,nt,NT_POOL
k562_65837,65837,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_65848,65848,nt,NT_POOL
k562_65918,65918,nt,NT_POOL
k562_65947,65947,nt,NT_POOL
k562_66039,66039,nt,NT_POOL
k562_66094,66094,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_66105,66105,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_66109,66109,nt,NT_POOL
k562_66119,66119,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_66139,66139,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_66155,66155,nt,NT_POOL
k562_66158,66158,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_66258,66258,nt,NT_POOL
k562_66315,66315,nt,NT_POOL
k562_66347,66347,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_66403,66403,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_66515,66515,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_66556,66556,nt,NT_POOL
k562_66568,66568,nt,NT_POOL
k562_66593,66593,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_66612,66612,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_66686,66686,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_66691,66691,nt,NT_POOL
k562_66711,66711,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_66784,66784,nt,NT_POOL
k562_66870,66870,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_66938,66938,nt,NT_POOL
k562_66975,66975,nt,NT_POOL
k562_67029,67029,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_67079,67079,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_67137,67137,nt,NT_POOL
k562_67229,67229,nt,NT_POOL
k562_67332,67332,nt,NT_POOL
k562_67429,67429,nt,NT_POOL
k562_67460,67460,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_67523,67523,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_67578,67578,nt,NT_POOL
k562_67655,67655,nt,NT_POOL
k562_67692,67692,nt,NT_POOL
k562_67743,67743,nt,NT_POOL
k562_67870,67870,nt,NT_POOL
k562_68009,68009,nt,NT_POOL
k562_68036,68036,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_68102,68102,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_68160,68160,nt,NT_POOL
k562_68186,68186,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_68284,68284,nt,NT_POOL
k562_68329,68329,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_68367,68367,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_68395,68395,nt,NT_POOL
k562_68433,68433,nt,NT_POOL
k562_68455,68455,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_68511,68511,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_68594,68594,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_68599,68599,nt,NT_POOL
k562_68739,68739,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_68795,68795,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_68827,68827,nt,NT_POOL
k562_69038,69038,nt,NT_POOL
k562_69082,69082,nt,NT_POOL
k562_69118,69118,nt,NT_POOL
k562_69137,69137,nt,NT_POOL
k562_69161,69161,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_69206,69206,nt,NT_POOL
k562_69214,69214,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_69215,69215,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_69356,69356,nt,NT_POOL
k562_69431,69431,nt,NT_POOL
k562_69438,69438,nt,NT_POOL
k562_69534,69534,nt,NT_POOL
k562_69596,69596,nt,NT_POOL
k562_69700,69700,nt,NT_POOL
k562_69763,69763,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_69833,69833,nt,NT_POOL
k562_70008,70008,nt,NT_POOL
k562_70016,70016,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_70054,70054,nt,NT_POOL
k562_70117,70117,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_70128,70128,nt,NT_POOL
k562_70199,70199,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_70223,70223,nt,NT_POOL
k562_70254,70254,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_70378,70378,nt,NT_POOL
k562_70382,70382,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_70418,70418,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_70425,70425,nt,NT_POOL
k562_70541,70541,nt,NT_POOL
k562_70586,70586,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_70593,70593,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_70601,70601,nt,NT_POOL
k562_70627,70627,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_70671,70671,nt,NT_POOL
k562_70690,70690,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_70770,70770,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_70775,70775,nt,NT_POOL
k562_70814,70814,nt,NT_POOL
k562_70825,70825,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_70888,70888,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_70906,70906,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_70925,70925,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_70952,70952,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_70963,70963,nt,NT_POOL
k562_71045,71045,nt,NT_POOL
k562_71082,71082,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_71142,71142,nt,NT_POOL
k562_71167,71167,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_71193,71193,nt,NT_POOL
k562_71282,71282,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_71300,71300,nt,NT_POOL
k562_71325,71325,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_71407,71407,nt,NT_POOL
k562_71456,71456,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_71548,71548,nt,NT_POOL
k562_71697,71697,nt,NT_POOL
k562_71738,71738,nt,NT_POOL
k562_71779,71779,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_71882,71882,nt,NT_POOL
k562_72034,72034,nt,NT_POOL
k562_72178,72178,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_72234,72234,nt,NT_POOL
k562_72276,72276,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_72385,72385,nt,NT_POOL
k562_72418,72418,nt,NT_POOL
k562_72573,72573,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_72621,72621,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_72672,72672,nt,NT_POOL
k562_72747,72747,nt,NT_POOL
k562_72820,72820,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_72856,72856,nt,NT_POOL
k562_72937,72937,nt,NT_POOL
k562_73034,73034,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_73040,73040,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_73062,73062,nt,NT_POOL
k562_73076,73076,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_73102,73102,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_73153,73153,nt,NT_POOL
k562_73194,73194,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_73239,73239,nt,NT_POOL
k562_73343,73343,nt,NT_POOL
k562_73360,73360,nt,NT_POOL
k562_73486,73486,nt,NT_POOL
k562_73514,73514,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_73531,73531,nt,NT_POOL
k562_73605,73605,nt,NT_POOL
k562_73662,73662,nt,NT_POOL
k562_73712,73712,nt,NT_POOL
k562_73756,73756,nt,NT_POOL
k562_73893,73893,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_73914,73914,nt,NT_POOL
k562_74016,74016,nt,NT_POOL
k562_74018,74018,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_74134,74134,nt,NT_POOL
k562_74345,74345,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_74389,74389,nt,NT_POOL
k562_74431,74431,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_74435,74435,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_74519,74519,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_74579,74579,nt,NT_POOL
k562_74626,74626,nt,NT_POOL
k562_74679,74679,nt,NT_POOL
k562_74734,74734,nt,NT_POOL
k562_74782,74782,nt,NT_POOL
k562_74795,74795,nt,NT_POOL
k562_74893,74893,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_74953,74953,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_74955,74955,nt,NT_POOL
k562_75004,75004,nt,NT_POOL
k562_75013,75013,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_75058,75058,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_75107,75107,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_75202,75202,nt,NT_POOL
k562_75334,75334,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_75375,75375,nt,NT_POOL
k562_75388,75388,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_75406,75406,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_75409,75409,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_75483,75483,nt,NT_POOL
k562_75519,75519,nt,NT_POOL
k562_75602,75602,nt,NT_POOL
k562_75760,75760,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_75778,75778,nt,NT_POOL
k562_75861,75861,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_75869,75869,nt,NT_POOL
k562_75883,75883,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_75946,75946,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_75956,75956,nt,NT_POOL
k562_75964,75964,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_76012,76012,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_76027,76027,nt,NT_POOL
k562_76029,76029,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_76088,76088,nt,NT_POOL
k562_76175,76175,nt,NT_POOL
k562_76218,76218,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_76253,76253,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_76275,76275,nt,NT_POOL
k562_76294,76294,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_76475,76475,nt,NT_POOL
k562_76629,76629,nt,NT_POOL
k562_76647,76647,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_76666,76666,nt,NT_POOL
k562_76734,76734,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_76765,76765,nt,NT_POOL
k562_76814,76814,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_76836,76836,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_76863,76863,nt,NT_POOL
k562_76897,76897,nt,NT_POOL
k562_76990,76990,nt,NT_POOL
k562_77051,77051,nt,NT_POOL
k562_77186,77186,nt,NT_POOL
k562_77246,77246,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_77254,77254,nt,NT_POOL
k562_77296,77296,nt,NT_POOL
k562_77366,77366,nt,NT_POOL
k562_77459,77459,nt,NT_POOL
k562_77492,77492,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_77610,77610,nt,NT_POOL
k562_77639,77639,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_77671,77671,nt,NT_POOL
k562_77682,77682,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_77703,77703,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_77712,77712,nt,NT_POOL
k562_77752,77752,nt,NT_POOL
k562_77890,77890,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_77929,77929,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_78019,78019,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_78047,78047,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_78104,78104,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_78122,78122,nt,NT_POOL
k562_78155,78155,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_78202,78202,nt,NT_POOL
k562_78245,78245,nt,NT_POOL
k562_78314,78314,nt,NT_POOL
k562_78338,78338,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_78346,78346,nt,NT_POOL
k562_78452,78452,nt,NT_POOL
k562_78477,78477,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_78491,78491,nt,NT_POOL
k562_78543,78543,nt,NT_POOL
k562_78565,78565,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_78582,78582,nt,NT_POOL
k562_78603,78603,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_78720,78720,nt,NT_POOL
k562_78745,78745,nt,NT_POOL
k562_78761,78761,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_78805,78805,nt,NT_POOL
k562_78860,78860,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_78897,78897,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_78931,78931,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_78971,78971,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_78974,78974,nt,NT_POOL
k562_79054,79054,nt,NT_POOL
k562_79071,79071,nt,NT_POOL
k562_79133,79133,nt,NT_POOL
k562_79200,79200,nt,NT_POOL
k562_79258,79258,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_79328,79328,nt,NT_POOL
k562_79381,79381,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_79384,79384,nt,NT_POOL
k562_79431,79431,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_79445,79445,nt,NT_POOL
k562_79590,79590,nt,NT_POOL
k562_79765,79765,nt,NT_POOL
k562_79851,79851,nt,NT_POOL
k562_79853,79853,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_79898,79898,nt,NT_POOL
k562_80054,80054,nt,NT_POOL
k562_80100,80100,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_80122,80122,nt,NT_POOL
k562_80189,80189,nt,NT_POOL
k562_80252,80252,nt,NT_POOL
k562_80370,80370,nt,NT_POOL
k562_80447,80447,nt,NT_POOL
k562_80560,80560,nt,NT_POOL
k562_80747,80747,nt,NT_POOL
k562_80816,80816,nt,NT_POOL
k562_80898,80898,nt,NT_POOL
k562_80910,80910,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_81019,81019,nt,NT_POOL
k562_81048,81048,nt,NT_POOL
k562_81081,81081,nt,NT_POOL
k562_81175,81175,nt,NT_POOL
k562_81309,81309,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_81323,81323,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_81334,81334,nt,NT_POOL
k562_81385,81385,nt,NT_POOL
k562_81452,81452,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_81534,81534,nt,NT_POOL
k562_81581,81581,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_81599,81599,nt,NT_POOL
k562_81696,81696,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_81716,81716,nt,NT_POOL
k562_81760,81760,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_81889,81889,nt,NT_POOL
k562_81940,81940,nt,NT_POOL
k562_81943,81943,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_81958,81958,nt,NT_POOL
k562_81990,81990,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_82082,82082,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_82093,82093,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_82130,82130,nt,NT_POOL
k562_82152,82152,nt,NT_POOL
k562_82157,82157,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_82172,82172,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_82216,82216,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_82238,82238,nt,NT_POOL
k562_82283,82283,nt,NT_POOL
k562_82298,82298,nt,NT_POOL
k562_82392,82392,nt,NT_POOL
k562_82395,82395,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_82472,82472,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_82483,82483,nt,NT_POOL
k562_82547,82547,nt,NT_POOL
k562_82622,82622,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_82628,82628,nt,NT_POOL
k562_82707,82707,nt,NT_POOL
k562_82757,82757,nt,NT_POOL
k562_82832,82832,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_82837,82837,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_82923,82923,nt,NT_POOL
k562_83035,83035,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_83048,83048,nt,NT_POOL
k562_83087,83087,nt,NT_POOL
k562_83113,83113,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_83345,83345,nt,NT_POOL
k562_83377,83377,nt,NT_POOL
k562_83439,83439,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_83532,83532,nt,NT_POOL
k562_83641,83641,nt,NT_POOL
k562_83644,83644,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_83690,83690,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_83844,83844,nt,NT_POOL
k562_83879,83879,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_83891,83891,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_83936,83936,nt,NT_POOL
k562_83938,83938,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_84172,84172,nt,NT_POOL
k562_84194,84194,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_84333,84333,nt,NT_POOL
k562_84375,84375,nt,NT_POOL
k562_84416,84416,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_84493,84493,nt,NT_POOL
k562_84594,84594,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_84621,84621,nt,NT_POOL
k562_84670,84670,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_84673,84673,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_84714,84714,nt,NT_POOL
k562_84815,84815,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_84844,84844,nt,NT_POOL
k562_84880,84880,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_84941,84941,nt,NT_POOL
k562_84959,84959,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_85018,85018,nt,NT_POOL
k562_85047,85047,nt,NT_POOL
k562_85195,85195,nt,NT_POOL
k562_85235,85235,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_85291,85291,nt,NT_POOL
k562_85424,85424,nt,NT_POOL
k562_85455,85455,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_85482,85482,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_85555,85555,nt,NT_POOL
k562_85569,85569,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_85636,85636,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_85664,85664,nt,NT_POOL
k562_85702,85702,nt,NT_POOL
k562_85745,85745,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_85782,85782,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_85789,85789,nt,NT_POOL
k562_85813,85813,nt,NT_POOL
k562_85889,85889,nt,NT_POOL
k562_85897,85897,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_85989,85989,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_86025,86025,nt,NT_POOL
k562_86078,86078,nt,NT_POOL
k562_86085,86085,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_86107,86107,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_86144,86144,nt,NT_POOL
k562_86154,86154,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_86207,86207,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_86215,86215,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_86236,86236,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_86245,86245,nt,NT_POOL
k562_86328,86328,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_86371,86371,nt,NT_POOL
k562_86420,86420,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_86544,86544,nt,NT_POOL
k562_86617,86617,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_86645,86645,nt,NT_POOL
k562_86661,86661,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_86675,86675,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_86709,86709,nt,NT_POOL
k562_86746,86746,nt,NT_POOL
k562_86807,86807,nt,NT_POOL
k562_86873,86873,nt,NT_POOL
k562_86924,86924,nt,NT_POOL
k562_87064,87064,nt,NT_POOL
k562_87125,87125,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_87140,87140,nt,NT_POOL
k562_87234,87234,nt,NT_POOL
k562_87259,87259,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_87343,87343,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_87354,87354,nt,NT_POOL
k562_87389,87389,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_87412,87412,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_87507,87507,nt,NT_POOL
k562_87557,87557,nt,NT_POOL
k562_87585,87585,nt,NT_POOL
k562_87621,87621,nt,NT_POOL
k562_87720,87720,nt,NT_POOL
k562_87775,87775,nt,NT_POOL
k562_87860,87860,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_87879,87879,nt,NT_POOL
k562_87937,87937,nt,NT_POOL
k562_87966,87966,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_88014,88014,nt,NT_POOL
k562_88047,88047,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_88054,88054,nt,NT_POOL
k562_88109,88109,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_88116,88116,nt,NT_POOL
k562_88215,88215,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_88377,88377,nt,NT_POOL
k562_88419,88419,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_88456,88456,nt,NT_POOL
k562_88511,88511,nt,NT_POOL
k562_88550,88550,nt,NT_POOL
k562_88579,88579,nt,NT_POOL
k562_88605,88605,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_88618,88618,perturbed,10023_ZC3H18_P1P2_ENSG00000158545
k562_88660,88660,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_88706,88706,nt,NT_POOL
k562_88727,88727,nt,NT_POOL
k562_88744,88744,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_88747,88747,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_88793,88793,nt,NT_POOL
k562_88880,88880,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_88971,88971,nt,NT_POOL
k562_89015,89015,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_89032,89032,nt,NT_POOL
k562_89061,89061,nt,NT_POOL
k562_89106,89106,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_89123,89123,nt,NT_POOL
k562_89163,89163,nt,NT_POOL
k562_89201,89201,nt,NT_POOL
k562_89254,89254,nt,NT_POOL
k562_89286,89286,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_89306,89306,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_89367,89367,nt,NT_POOL
k562_89460,89460,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_89475,89475,nt,NT_POOL
k562_89531,89531,nt,NT_POOL
k562_89597,89597,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_89607,89607,nt,NT_POOL
k562_89728,89728,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_89730,89730,nt,NT_POOL
k562_89784,89784,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_89797,89797,nt,NT_POOL
k562_89820,89820,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_89825,89825,nt,NT_POOL
k562_89831,89831,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_89869,89869,nt,NT_POOL
k562_89896,89896,nt,NT_POOL
k562_90011,90011,nt,NT_POOL
k562_90161,90161,nt,NT_POOL
k562_90228,90228,nt,NT_POOL
k562_90306,90306,nt,NT_POOL
k562_90401,90401,nt,NT_POOL
k562_90412,90412,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_90491,90491,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_90528,90528,nt,NT_POOL
k562_90646,90646,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_90713,90713,nt,NT_POOL
k562_90749,90749,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_90765,90765,nt,NT_POOL
k562_90851,90851,nt,NT_POOL
k562_90883,90883,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_90945,90945,nt,NT_POOL
k562_90978,90978,nt,NT_POOL
k562_91016,91016,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_91085,91085,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_91105,91105,nt,NT_POOL
k562_91127,91127,nt,NT_POOL
k562_91128,91128,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_91314,91314,nt,NT_POOL
k562_91347,91347,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_91366,91366,nt,NT_POOL
k562_91400,91400,nt,NT_POOL
k562_91444,91444,nt,NT_POOL
k562_91470,91470,nt,NT_POOL
k562_91544,91544,nt,NT_POOL
k562_91610,91610,nt,NT_POOL
k562_91640,91640,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_91661,91661,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_91721,91721,nt,NT_POOL
k562_91732,91732,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_91787,91787,nt,NT_POOL
k562_91982,91982,nt,NT_POOL
k562_92093,92093,nt,NT_POOL
k562_92104,92104,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_92140,92140,nt,NT_POOL
k562_92200,92200,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_92282,92282,nt,NT_POOL
k562_92365,92365,nt,NT_POOL
k562_92415,92415,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_92420,92420,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_92435,92435,nt,NT_POOL
k562_92567,92567,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_92579,92579,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_92583,92583,nt,NT_POOL
k562_92610,92610,nt,NT_POOL
k562_92629,92629,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_92736,92736,nt,NT_POOL
k562_92807,92807,nt,NT_POOL
k562_92842,92842,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_92843,92843,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_92929,92929,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_92947,92947,nt,NT_POOL
k562_93051,93051,nt,NT_POOL
